comando,descrição,ordem_importância,como_pode_ser_usado
git status,Mostra o estado atual do repositório,1,"git status, git status -s"
git add,Adiciona arquivos ao staging area,2,"git add ., git add arquivo.txt, git add -A"
git commit,Salva mudanças no repositório,3,"git commit -m 'mensagem', git commit -am 'msg'"
git push,Envia commits para repositório remoto,4,"git push, git push origin main, git push -u origin branch"
git pull,Baixa e integra mudanças do remoto,5,"git pull, git pull origin main, git pull --rebase"
git clone,Clona repositório remoto,6,"git clone url, git clone --depth 1 url"
git branch,Gerencia branches,7,"git branch, git branch -a, git branch nova-branch"
git checkout,Muda entre branches ou restaura arquivos,8,"git checkout main, git checkout -b nova-branch"
git merge,Integra mudanças de uma branch,9,"git merge feature, git merge --no-ff branch"
git log,Mostra histórico de commits,10,"git log, git log --oneline, git log --graph"
git diff,Mostra diferenças entre commits/branches,11,"git diff, git diff --staged, git diff branch1..branch2"
git stash,Salva mudanças temporariamente,12,"git stash, git stash pop, git stash list"
git remote,Gerencia repositórios remotos,13,"git remote -v, git remote add origin url"
git fetch,Baixa mudanças sem integrar,14,"git fetch, git fetch origin, git fetch --prune"
git reset,Desfaz commits ou mudanças,15,"git reset HEAD~1, git reset --hard HEAD~1"
git revert,Reverte commits de forma segura,16,"git revert HEAD, git revert commit-hash"
git tag,Gerencia tags/versões,17,"git tag, git tag v1.0, git tag -a v1.0 -m 'msg'"
git rebase,Reaproveita commits em nova base,18,"git rebase main, git rebase -i HEAD~3"
git cherry-pick,Aplica commits específicos,19,"git cherry-pick hash, git cherry-pick hash1..hash3"
git reflog,Histórico de mudanças nas referências,20,"git reflog, git reflog --oneline"
git bisect,Encontra commit que introduziu bug,21,"git bisect start, git bisect bad, git bisect good"
git clean,Remove arquivos não trackeados,22,"git clean -n, git clean -f, git clean -fd"
git blame,Mostra quem modificou cada linha,23,"git blame arquivo.txt, git blame -L 10,20 arquivo"
git show,Mostra informações de commits,24,"git show, git show hash, git show HEAD~2:arquivo"
git config,Configura Git,25,"git config --global user.name 'nome', git config --list"
git init,Inicializa repositório,26,"git init, git init --bare"
git fsck,Verifica integridade do repositório,27,"git fsck, git fsck --full"
git gc,Limpa e otimiza repositório,28,"git gc, git gc --aggressive"
git archive,Cria arquivo do repositório,29,"git archive --format=zip HEAD > file.zip"
git submodule,Gerencia submódulos,30,"git submodule add url, git submodule update"
git switch,Muda entre branches (novo),31,"git switch main, git switch -c nova-branch"
git restore,Restaura arquivos (novo),32,"git restore arquivo, git restore --staged arquivo"
git worktree,Gerencia múltiplas árvores de trabalho,33,"git worktree add ../hotfix, git worktree list"
git format-patch,Cria patches de commits,34,"git format-patch HEAD~3, git format-patch -1"
git apply,Aplica patches,35,"git apply patch.patch, git apply --check patch"
git am,Aplica patches de email,36,"git am patch.mbox, git am --3way patch"
git send-email,Envia patches por email,37,"git send-email *.patch"
git request-pull,Gera resumo de mudanças,38,"git request-pull v1.0 url HEAD"
git shortlog,Resumo de commits por autor,39,"git shortlog, git shortlog -sn"
git describe,Descreve commit mais próximo de tag,40,"git describe, git describe --tags"
git notes,Adiciona notas aos commits,41,"git notes add -m 'nota', git notes show"
git replace,Substitui objetos,42,"git replace hash novo-hash"
git filter-branch,Reescreve histórico (deprecated),43,"git filter-branch --tree-filter 'rm file'"
git subtree,Gerencia subprojetos,44,"git subtree add --prefix=lib url main"
git grep,Busca em arquivos,45,"git grep 'pattern', git grep -n 'text'"
git ls-files,Lista arquivos no índice,46,"git ls-files, git ls-files --others"
git ls-tree,Lista conteúdo de árvore,47,"git ls-tree HEAD, git ls-tree -r HEAD"
git cat-file,Mostra conteúdo de objetos,48,"git cat-file -p hash, git cat-file -t hash"
git rev-parse,Converte referências,49,"git rev-parse HEAD, git rev-parse --abbrev-ref HEAD"
git rev-list,Lista commits,50,"git rev-list HEAD, git rev-list --count HEAD"
git name-rev,Encontra nome simbólico,51,"git name-rev hash"
git symbolic-ref,Manipula referências simbólicas,52,"git symbolic-ref HEAD"
git update-ref,Atualiza referências,53,"git update-ref refs/heads/branch hash"
git pack-refs,Empacota referências,54,"git pack-refs --all"
git for-each-ref,Itera sobre referências,55,"git for-each-ref refs/heads"
git hash-object,Calcula hash de objeto,56,"git hash-object arquivo.txt"
git mktree,Cria objeto árvore,57,"git mktree < tree-list"
git commit-tree,Cria objeto commit,58,"git commit-tree hash -m 'msg'"
git read-tree,Lê árvore no índice,59,"git read-tree hash"
git write-tree,Escreve índice como árvore,60,"git write-tree"
git checkout-index,Copia arquivos do índice,61,"git checkout-index -a"
git update-index,Atualiza índice,62,"git update-index --add arquivo"
git merge-base,Encontra ancestral comum,63,"git merge-base branch1 branch2"
git merge-file,Merge de três vias,64,"git merge-file meu base deles"
git merge-index,Executa merge para cada entrada,65,"git merge-index program -a"
git merge-one-file,Merge de um arquivo,66,"git merge-one-file hash1 hash2 hash3 arquivo"
git merge-tree,Mostra resultado de merge,67,"git merge-tree base branch1 branch2"
git rerere,Reutiliza resoluções de conflito,68,"git rerere, git rerere forget arquivo"
git diff-files,Compara árvore de trabalho com índice,69,"git diff-files"
git diff-index,Compara árvore com índice,70,"git diff-index HEAD"
git diff-tree,Compara duas árvores,71,"git diff-tree hash1 hash2"
git patch-id,Calcula ID único do patch,72,"git patch-id < patch.diff"
git annotate,Anota linhas com informações de commit,73,"git annotate arquivo.txt"
git daemon,Servidor Git simples,74,"git daemon --reuseaddr --base-path=/opt/git/"
git fast-export,Exporta dados do Git,75,"git fast-export --all > export.dat"
git fast-import,Importa dados para Git,76,"git fast-import < export.dat"
git http-backend,Servidor HTTP para Git,77,"git http-backend"
git shell,Shell restrito para Git,78,"git shell"
git upload-pack,Envia objetos via protocolo Git,79,"git upload-pack ."
git receive-pack,Recebe objetos via protocolo Git,80,"git receive-pack ."
git upload-archive,Envia arquivos via protocolo Git,81,"git upload-archive"
git get-tar-commit-id,Extrai commit ID do tar,82,"git get-tar-commit-id < arquivo.tar"
git imap-send,Envia patches via IMAP,83,"git imap-send < patches.mbox"
git pack-objects,Cria arquivo pack,84,"git pack-objects base < object-list"
git index-pack,Constrói índice para arquivo pack,85,"git index-pack arquivo.pack"
git unpack-objects,Desempacota objetos,86,"git unpack-objects < arquivo.pack"
git verify-pack,Verifica arquivo pack,87,"git verify-pack arquivo.pack"
git prune,Remove objetos não referenciados,88,"git prune, git prune --expire=now"
git prune-packed,Remove objetos empacotados duplicados,89,"git prune-packed"
git repack,Reempacota objetos,90,"git repack -a -d"
git count-objects,Conta objetos não empacotados,91,"git count-objects -v"
git verify-tag,Verifica assinatura de tag,92,"git verify-tag v1.0"
git verify-commit,Verifica assinatura de commit,93,"git verify-commit HEAD"
git fsck-objects,Verifica conectividade (deprecated),94,"git fsck-objects"
git bundle,Cria bundle de repositório,95,"git bundle create repo.bundle HEAD"
git unbundle,Extrai bundle,96,"git unbundle repo.bundle"
git credential,Sistema de credenciais,97,"git credential fill, git credential approve"
git credential-cache,Cache de credenciais na memória,98,"git credential-cache"
git credential-store,Armazena credenciais em arquivo,99,"git credential-store"
git help,Mostra ajuda,100,"git help, git help comando"
git version,Mostra versão do Git,101,"git version"
git web--browse,Abre navegador web,102,"git web--browse url"
git whatchanged,Mostra mudanças em commits,103,"git whatchanged"
git check-ignore,Verifica regras de ignore,104,"git check-ignore arquivo.txt"
git check-mailmap,Aplica mailmap em nomes,105,"git check-mailmap 'Nome <email>'"
git column,Formata saída em colunas,106,"git branch | git column --mode=column"
git stripspace,Remove espaços desnecessários,107,"git stripspace < texto"
git mailinfo,Extrai informações de email,108,"git mailinfo msg patch < email.mbox"
git mailsplit,Divide mbox em arquivos,109,"git mailsplit mbox dir/"
git merge-octopus,Estratégia de merge octopus,110,"git merge-octopus"
git merge-ours,Estratégia de merge ours,111,"git merge-ours"
git merge-resolve,Estratégia de merge resolve,112,"git merge-resolve"
git merge-subtree,Estratégia de merge subtree,113,"git merge-subtree"
git fmt-merge-msg,Formata mensagem de merge,114,"git fmt-merge-msg < .git/FETCH_HEAD"
git interpret-trailers,Interpreta trailers em mensagens,115,"git interpret-trailers --trailer 'Signed-off-by: Nome'"
git check-ref-format,Verifica formato de referência,116,"git check-ref-format refs/heads/branch"
git symbolic-ref,Lê/escreve referências simbólicas,117,"git symbolic-ref HEAD refs/heads/main"
git update-server-info,Atualiza informações para servidor HTTP,118,"git update-server-info"
git http-fetch,Baixa via HTTP (deprecated),119,"git http-fetch commit url"
git http-push,Envia via HTTP (deprecated),120,"git http-push url refs/heads/main"
git local-fetch,Busca em repositório local (deprecated),121,"git local-fetch"
git ssh-fetch,Busca via SSH (deprecated),122,"git ssh-fetch"
git ssh-upload,Envia via SSH (deprecated),123,"git ssh-upload"
git peek-remote,Examina referências remotas (deprecated),124,"git peek-remote url"
git receive-pack,Recebe push,125,"git receive-pack ."
git upload-pack,Serve fetch,126,"git upload-pack ."
git var,Mostra variáveis lógicas do Git,127,"git var GIT_AUTHOR_IDENT"
git bugreport,Gera relatório de bug,128,"git bugreport"
git diagnose,Gera informações de diagnóstico,129,"git diagnose"
git hook,Gerencia hooks,130,"git hook run pre-commit"
git maintenance,Executa tarefas de manutenção,131,"git maintenance run, git maintenance start"
git multi-pack-index,Gerencia índices multi-pack,132,"git multi-pack-index write"
git range-diff,Compara ranges de commits,133,"git range-diff A..B C..D"
git commit-graph,Gerencia gráfico de commits,134,"git commit-graph write --reachable"
git env--helper,Helper para variáveis de ambiente,135,"git env--helper --type=bool VAR"
git sparse-checkout,Gerencia checkout esparso,136,"git sparse-checkout init, git sparse-checkout set dir/"
git mktag,Cria objeto tag,137,"git mktag < tag-file"
git unpack-file,Desempacota arquivo temporário,138,"git unpack-file hash"
git merge-recursive,Estratégia de merge recursiva,139,"git merge-recursive base -- HEAD branch"
git lost-found,Recupera objetos perdidos (deprecated),140,"git lost-found"
git tar-tree,Cria tar de árvore (deprecated),141,"git tar-tree HEAD | tar -x"
git repo-config,Configura repositório (deprecated),142,"git repo-config user.name valor"
git rev-tree,Lista commits (deprecated),143,"git rev-tree hash"
git show-index,Mostra conteúdo do índice pack,144,"git show-index < .git/objects/pack/pack-*.idx"
git patch-ids,Lista IDs de patches,145,"git patch-ids"
git instaweb,Inicia navegador web instant,146,"git instaweb --httpd=webrick"
git citool,Interface gráfica para commit,147,"git citool"
git gui,Interface gráfica do Git,148,"git gui"
git gitk,Visualizador gráfico de histórico,149,"gitk, gitk --all"
git p4,Integração com Perforce,150,"git p4 clone //depot/path"
git svn,Integração com Subversion,151,"git svn clone url, git svn dcommit"
git cvsserver,Servidor CVS emulado,152,"git cvsserver"
git cvsimport,Importa de CVS,153,"git cvsimport -C target-dir module"
git cvsexportcommit,Exporta commit para CVS,154,"git cvsexportcommit -c -p -v hash"
git archimport,Importa de GNU Arch,155,"git archimport archive/branch"
git fast-export,Exporta para fast-import,156,"git fast-export --all"
git quiltimport,Importa série de patches quilt,157,"git quiltimport"